Gene	PMBL_Tier	FL_Tier	BL_Tier	MCL_Tier	DLBCL_Tier	MZL_Tier	Best_Tier	Any_Tier1
ACTB	1	1	NA	NA	1	1	1	Yes
ACTG1	2	2	NA	NA	1	2	1	Yes
ARID1A	1	1	1	NA	1	1	1	Yes
ARID5B	1	NA	NA	NA	2	NA	1	Yes
B2M	1	1	2	2	1	NA	1	Yes
BCL2	2	1	2	NA	1	NA	1	Yes
BCL7A	2	1	1	NA	1	1	1	Yes
BIRC3	2	NA	NA	1	2	1	1	Yes
BIRC6	1	NA	NA	NA	1	NA	1	Yes
BTG1	1	2	2	NA	1	1	1	Yes
CCND3	2	1	1	NA	1	1	1	Yes
CD58	1	NA	NA	NA	1	NA	1	Yes
CD83	1	1	2	NA	1	NA	1	Yes
CDKN2A	2	NA	2	NA	1	2	1	Yes
CHD8	2	NA	1	NA	NA	NA	1	Yes
CIITA	1	NA	NA	NA	1	NA	1	Yes
CISH	1	NA	NA	NA	NA	NA	1	Yes
CREBBP	1	1	1	NA	1	2	1	Yes
CSF2RB	1	NA	NA	NA	NA	NA	1	Yes
DDX3X	1	2	1	NA	1	NA	1	Yes
DTX1	1	NA	3	NA	1	1	1	Yes
DUSP2	1	2	NA	NA	1	NA	1	Yes
EBF1	1	1	2	NA	1	NA	1	Yes
EEF1A1	1	1	NA	NA	1	NA	1	Yes
ETS1	2	NA	3	NA	1	NA	1	Yes
EWSR1	2	NA	NA	1	NA	NA	1	Yes
EZH2	1	1	1	NA	1	1	1	Yes
FAS	2	1	NA	NA	1	1	1	Yes
FAT1	2	NA	NA	NA	NA	1	1	Yes
FOXO1	2	1	1	NA	1	1	1	Yes
GNA13	1	1	1	NA	1	NA	1	Yes
HIST1H1B	1	1	2	NA	1	1	1	Yes
HIST1H1C	2	1	3	NA	1	NA	1	Yes
HIST1H1D	2	1	NA	NA	1	2	1	Yes
HIST1H1E	1	1	1	NA	1	1	1	Yes
HIST1H2BC	2	1	NA	NA	1	NA	1	Yes
HIST1H3B	2	NA	NA	NA	1	NA	1	Yes
HLA-A	2	NA	NA	NA	1	NA	1	Yes
HLA-B	1	NA	NA	NA	1	NA	1	Yes
HLA-C	2	NA	NA	NA	1	NA	1	Yes
IGLL5	2	1	1	NA	1	NA	1	Yes
IL4R	1	NA	NA	NA	1	NA	1	Yes
IRF4	2	2	NA	NA	1	NA	1	Yes
IRF8	1	1	2	NA	1	NA	1	Yes
ITPKB	1	2	NA	NA	1	NA	1	Yes
JAK1	1	NA	NA	NA	2	NA	1	Yes
JUNB	2	NA	NA	NA	1	NA	1	Yes
KLF2	2	2	NA	NA	1	1	1	Yes
KMT2C	1	NA	2	2	1	NA	1	Yes
KMT2D	2	1	1	1	1	1	1	Yes
LRRN3	2	NA	NA	NA	1	NA	1	Yes
LTB	1	2	NA	NA	1	NA	1	Yes
MAP3K14	1	NA	NA	NA	NA	1	1	Yes
MS4A1	1	NA	NA	NA	1	NA	1	Yes
MYC	2	1	1	NA	1	2	1	Yes
NCOR2	2	NA	2	NA	NA	1	1	Yes
NFKBIA	1	2	NA	NA	1	NA	1	Yes
NFKBIE	1	NA	NA	1	1	NA	1	Yes
NSD2	2	NA	NA	1	3	NA	1	Yes
OSBPL10	2	NA	NA	NA	1	NA	1	Yes
P2RY8	2	2	1	NA	1	NA	1	Yes
PCBP1	2	NA	1	NA	NA	NA	1	Yes
PCLO	2	NA	NA	NA	2	1	1	Yes
PIM1	1	1	2	NA	1	NA	1	Yes
PIM2	1	NA	NA	NA	1	NA	1	Yes
PTPN1	1	NA	NA	NA	NA	NA	1	Yes
PTPRD	2	2	NA	NA	2	1	1	Yes
RHOA	2	2	1	NA	1	NA	1	Yes
S1PR2	2	2	2	NA	1	NA	1	Yes
SGK1	1	1	NA	NA	1	NA	1	Yes
SIN3A	2	NA	1	NA	1	1	1	Yes
SMARCA4	2	1	1	1	1	NA	1	Yes
SOCS1	1	1	NA	NA	1	1	1	Yes
SPEN	1	NA	NA	NA	1	1	1	Yes
STAT3	2	NA	NA	NA	1	NA	1	Yes
STAT6	1	1	NA	NA	1	1	1	Yes
TBL1XR1	2	1	2	NA	1	1	1	Yes
TCF3	2	NA	1	NA	NA	NA	1	Yes
TMSB4X	2	1	NA	NA	1	NA	1	Yes
TNFAIP3	1	1	NA	NA	1	1	1	Yes
TP53	1	1	1	1	1	1	1	Yes
TRAF3	1	NA	NA	NA	2	1	1	Yes
UBE2A	1	NA	NA	NA	1	NA	1	Yes
UBR5	2	NA	NA	1	2	NA	1	Yes
WEE1	1	NA	NA	NA	1	NA	1	Yes
XPO1	1	NA	NA	NA	1	NA	1	Yes
ZFP36L1	1	NA	2	NA	1	NA	1	Yes
ATP6AP1	NA	1	NA	NA	NA	NA	1	Yes
ATP6V1B2	NA	1	NA	NA	NA	NA	1	Yes
BCL10	NA	1	NA	NA	1	1	1	Yes
BCL6	NA	1	1	NA	1	NA	1	Yes
BTK	NA	1	NA	NA	1	NA	1	Yes
CARD11	NA	1	2	1	1	1	1	Yes
CTSS	NA	1	NA	NA	NA	NA	1	Yes
EP300	NA	1	NA	NA	1	1	1	Yes
GNAI2	NA	1	1	NA	1	NA	1	Yes
HIST1H2AC	NA	1	NA	NA	1	NA	1	Yes
HIST1H2AG	NA	1	3	NA	2	2	1	Yes
HIST1H2AM	NA	1	3	NA	1	NA	1	Yes
HIST1H2BG	NA	1	NA	NA	NA	NA	1	Yes
HVCN1	NA	1	NA	NA	1	NA	1	Yes
KLHL6	NA	1	NA	NA	1	1	1	Yes
MAP2K1	NA	1	NA	NA	2	NA	1	Yes
MEF2B	NA	1	NA	1	1	NA	1	Yes
POU2AF1	NA	1	NA	NA	1	1	1	Yes
POU2F2	NA	1	NA	NA	1	NA	1	Yes
RRAGC	NA	1	NA	NA	1	NA	1	Yes
TNFRSF14	NA	1	2	NA	1	1	1	Yes
VMA21	NA	1	NA	NA	NA	NA	1	Yes
BTG2	NA	2	3	NA	1	NA	1	Yes
CD70	NA	2	NA	NA	1	NA	1	Yes
CD79B	NA	2	3	NA	1	NA	1	Yes
CXCR4	NA	2	2	NA	1	1	1	Yes
MEF2C	NA	2	NA	NA	1	NA	1	Yes
MYD88	NA	2	NA	NA	1	1	1	Yes
TMEM30A	NA	2	NA	NA	1	NA	1	Yes
ZNF608	NA	2	NA	NA	1	NA	1	Yes
BACH2	NA	NA	1	NA	NA	NA	1	Yes
BMP7	NA	NA	1	NA	NA	NA	1	Yes
FBXO11	NA	NA	1	NA	1	2	1	Yes
HNRNPU	NA	NA	1	NA	1	NA	1	Yes
ID3	NA	NA	1	NA	2	1	1	Yes
PHF6	NA	NA	1	NA	3	NA	1	Yes
PTEN	NA	NA	1	NA	1	NA	1	Yes
RFX7	NA	NA	1	NA	1	NA	1	Yes
TCL1A	NA	NA	1	NA	2	NA	1	Yes
TFAP4	NA	NA	1	NA	NA	NA	1	Yes
USP7	NA	NA	1	NA	2	NA	1	Yes
WNK1	NA	NA	1	NA	2	2	1	Yes
IKZF3	NA	NA	2	NA	1	NA	1	Yes
MIR142	NA	NA	2	NA	1	NA	1	Yes
TET2	NA	NA	2	NA	1	NA	1	Yes
PRDM1	NA	NA	2	NA	1	NA	1	Yes
BRAF	NA	NA	3	NA	1	1	1	Yes
HIST1H2BK	NA	NA	3	NA	1	2	1	Yes
MTOR	NA	NA	3	NA	1	NA	1	Yes
NOTCH1	NA	NA	3	1	1	1	1	Yes
SF3B1	NA	NA	3	NA	1	NA	1	Yes
ATM	NA	NA	NA	1	1	1	1	Yes
CCND1	NA	NA	NA	1	NA	NA	1	Yes
DAZAP1	NA	NA	NA	1	2	NA	1	Yes
HNRNPH1	NA	NA	NA	1	2	NA	1	Yes
NOTCH2	NA	NA	NA	1	1	1	1	Yes
POT1	NA	NA	NA	1	NA	NA	1	Yes
RB1	NA	NA	NA	1	1	NA	1	Yes
S1PR1	NA	NA	NA	1	2	NA	1	Yes
SP140	NA	NA	NA	1	NA	NA	1	Yes
SYNE1	NA	NA	NA	1	NA	NA	1	Yes
