chromosome	start	end	arm
chr1	10000	121700000	p
chr1	143200000	248956422	q
chr2	0	91800000	p
chr2	96000000	242193529	q
chr3	0	87800000	p
chr3	98600000	198295559	q
chr4	0	48200000	p
chr4	51800000	190214555	q
chr5	0	46100000	p
chr5	51400000	181538259	q
chr6	0	58500000	p
chr6	62600000	170805979	q
chr7	0	58100000	p
chr7	62100000	159345973	q
chr8	0	43200000	p
chr8	47200000	145138636	q
chr9	0	42200000	p
chr9	61500000	138394717	q
chr10	10000	38000000	p
chr10	41600000	133797422	q
chr11	10000	51000000	p
chr11	55800000	135086622	q
chr12	10000	33200000	p
chr12	37800000	133275309	q
chr13	10000	16000000	p
chr13	18900000	114364328	q
chr14	10000	16000000	p
chr14	18200000	107043718	q
chr15	10000	16000000	p
chr15	20500000	101991189	q
chr16	0	35300000	p
chr16	47000000	90338345	q
chr17	0	22700000	p
chr17	27400000	83257441	q
chr18	0	15400000	p
chr18	21500000	80373285	q
chr19	0	19900000	p
chr19	31900000	58617616	q
chr20	0	25700000	p
chr20	30400000	64444167	q
chr21	0	10500000	p
chr21	13000000	46709983	q
chr22	10000	14000000	p
chr22	17400000	50818468	q
chrX	0	58100000	p
chrX	63800000	156040895	q
chrY	0	10300000	p
chrY	10600000	26600000	q
