chromosome	start	end	arm
1	10000	121700000	p
1	143200000	248956422	q
2	0	91800000	p
2	96000000	242193529	q
3	0	87800000	p
3	98600000	198295559	q
4	0	48200000	p
4	51800000	190214555	q
5	0	46100000	p
5	51400000	181538259	q
6	0	58500000	p
6	62600000	170805979	q
7	0	58100000	p
7	62100000	159345973	q
8	0	43200000	p
8	47200000	145138636	q
9	0	42200000	p
9	61500000	138394717	q
10	10000	38000000	p
10	41600000	133797422	q
11	10000	51000000	p
11	55800000	135086622	q
12	10000	33200000	p
12	37800000	133275309	q
13	10000	16000000	p
13	18900000	114364328	q
14	10000	16000000	p
14	18200000	107043718	q
15	10000	16000000	p
15	20500000	101991189	q
16	0	35300000	p
16	47000000	90338345	q
17	0	22700000	p
17	27400000	83257441	q
18	0	15400000	p
18	21500000	80373285	q
19	0	19900000	p
19	31900000	58617616	q
20	0	25700000	p
20	30400000	64444167	q
21	0	10500000	p
21	13000000	46709983	q
22	10000	14000000	p
22	17400000	50818468	q
X	0	58100000	p
X	63800000	156040895	q
Y	0	10300000	p
Y	10600000	26600000	q
